LAMMPS data file via write_data, version 2 Aug 2023, timestep = 150000, units = metal

8000 atoms
1 atom types

-0.5355589775668221 65.42756012956522 xlo xhi
-0.5355589775668221 65.42756012956522 ylo yhi
-0.5355589775668221 65.42756012956522 zlo zhi

Masses

1 118.71

Atoms # atomic

6 1 1.4020111346848727 1.3755954745323073 1.16619227265999 0 0 0
7 1 1.0770673168042706 4.310670491183164 4.685407591354683 0 0 0
803 1 2.8337999704858556 2.634467200239066 6.207758531720098 0 0 0
5 1 4.484350098493689 1.2094943271815433 4.297795004528048 0 0 0
8 1 4.349076343659921 4.4664750746250785 1.2896956744211914 0 0 0
2 1 -0.3291854447105538 2.969491912682027 2.622139040151655 0 0 0
10 1 6.111835331957731 2.668467781329003 2.5772444845484737 0 0 0
14 1 7.931237931447043 0.9242753942690543 1.2163491791101515 0 0 0
15 1 7.667779106104161 4.344683448711079 4.415176021453779 0 0 0
811 1 9.367335341779002 2.826506318526028 6.061186463185367 0 0 0
889 1 5.925545215725213 6.025664123852668 6.077445095385845 0 0 0
814 1 7.538646770352647 0.8651051882220218 7.696906518874499 0 0 0
11 1 9.306247043697471 2.7925112044520377 -0.4446119777181811 0 0 0
809 1 5.928638049543718 -0.5195713977730863 5.900495131806236 0 0 0
100 1 15.819294615690985 6.001447881849636 2.881957993886094 0 0 0
18 1 12.572206576149284 2.65527029318206 3.0092673137274635 0 0 0
22 1 14.17194257240657 1.099612048008532 1.2114035544442991 0 0 0
23 1 14.156742537727604 4.39997526685642 4.531096324849948 0 0 0
13 1 11.0614801997671 1.1009717847184726 4.599621581611841 0 0 0
16 1 10.886925041139197 4.369197062086383 1.327365929003917 0 0 0
97 1 12.262461844996578 5.994478341441738 -0.5061385853243003 0 0 0
819 1 15.77712214730991 2.8076000847394025 6.067993143498769 0 0 0
822 1 14.142090362174367 1.0229781747121858 7.630702782326198 0 0 0
84 1 2.673040011595112 6.107244363029774 2.842142218010371 0 0 0
961 1 -0.4294193467211329 12.641541631474889 6.1940101373992436 0 0 0
88 1 4.414581536606179 11.047825965013276 1.1263269500415358 0 0 0
85 1 4.216450127409452 7.825595332903557 4.450389921057298 0 0 0
883 1 2.5188126060218856 9.339542849494018 5.929375821251913 0 0 0
86 1 1.3355848101958578 7.845946524234508 1.1068245459552217 0 0 0
87 1 0.8476689757223879 10.992418492243589 4.425646120845437 0 0 0
888 1 4.181091439808736 10.862683308326526 7.525049950949951 0 0 0
89 1 6.18745545613296 6.228840752327179 -0.3788870829145563 0 0 0
172 1 9.202713708391867 12.51151794215665 2.8552952338338753 0 0 0
894 1 7.90341232913195 7.880133746692598 7.700540217057551 0 0 0
92 1 9.299607146606066 6.204311155552376 2.885648038615304 0 0 0
891 1 9.311019636095235 9.672934448764174 5.875737557093458 0 0 0
90 1 5.98033767969956 9.23471370975892 2.7599791773828897 0 0 0
94 1 7.980526690573793 7.923035431017958 1.223078434945239 0 0 0
95 1 7.336484777476685 11.005793127755256 4.330089919524538 0 0 0
169 1 6.318102094660795 12.613547599259352 -0.45700108000959005 0 0 0
103 1 14.227164240732193 10.976656023440654 4.510422762125223 0 0 0
977 1 12.457426158973039 12.560913153450937 6.179448987802555 0 0 0
897 1 12.546075954821028 6.3182881407005675 6.095311930654514 0 0 0
899 1 15.930087042146091 9.412661649434476 6.104316613256402 0 0 0
98 1 12.662177258506969 9.390673016783794 2.5810324236822484 0 0 0
93 1 11.156010068079611 7.946617839089118 4.260920579256685 0 0 0
102 1 14.041436938479213 7.645367004997993 1.095641091144952 0 0 0
